"","HEK293","K562","KMS34"
"LHX2",-1.08209541227828,-0.0113027624928577,-0.151317098188779
"LYL1",-0.0565230658919884,3.86354547691306,1.84323706630823
"MAF",0.648315331388907,0.781495558082442,0.448123647515105
"MAFB",-1.08042439014081,1.67019617191511,0.707117907032859
"MAFF",-0.31359376450021,1.29509921522884,0.864573146407267
"MAFG",-0.698427723948022,0.886218638065416,-1.39207808151584
"MAFK",-0.537210567815689,0.338590271275325,0.268700523491565
"MAX",0.0535210688504698,0.507441147603617,0.125368816619703
"MAZ",0.0530060514495854,-1.00737233635011,-0.369031541795184
"MBD1",-0.0344971169855005,-0.72289017602573,-0.0459037509189607
"MBD2",-0.993646763592267,-0.74198284670524,-0.860683874946615
"MEF2A",-0.455605205440339,0.660506782275106,-0.3185935154973
"MEF2B",0.0679984893489068,1.38551909291172,1.17804041702541
"MEF2C",-0.021284103875387,2.13551790351867,0.855135343951703
"MEIS1",-2.11494481402211,1.81791360891855,-0.717400392630322
"MEIS2",-0.939326871765711,2.05607940189408,0.828996651768954
"MITF",-0.366603519556976,1.84258139613901,-0.360292943078037
"MNT",0.849806156851789,1.59691762589637,0.728616705604188
"MXI1",-0.239397778416696,-1.08881125623213,-0.495191570763226
"MYB",-1.18694257215993,-0.634861884121738,-1.35874104141087
"MYBL2",-0.971504648926466,-1.46732793653188,-0.48950118515303
"MYC",-1.22565686484734,-5.63831299359596,-1.18483662448822
"MYCN",-0.56303991879493,-0.511978957620439,-0.334815656667154
"MYNN",1.13377726628539,-0.880985607443639,0.532982776677563
"MYOD1",0.337623654943835,0.6405883177933,1.73911503957827
"NANOG",0.175811873288022,0.433896158133705,0.551572054965556
"NCOA1",-0.237627985364263,0.471842205937535,-0.835486845053238
"NCOA2",-1.11216630941532,0.555684490812791,-1.60161976567946
"NCOA3",-0.124996466952613,0.347122815701676,-0.772718112218341
"NEUROD1",-0.0568671068282467,2.46147034762107,-0.110829145772339
"NFATC1",-0.245862193721203,1.30043179317323,0.588814648180482
"NFATC2",-0.438510874936089,-0.938345610249614,0.246795345795937
"NFE2",-0.425297105362686,2.33071380935093,-0.428200197683637
"NFE2L1",-0.204949913315209,0.813374162683784,-0.560461315138752
"NFE2L2",1.02428964128054,1.89781002395722,0.769425533788682
"NFIC",-0.658770815667591,-0.640458233576448,0.851712190164282
"NFKB1",-0.421537575055688,-0.758822900509208,-0.61722354472159
"NFKB2",0.174019303232432,0.035062657952399,-0.978492289096285
"NFYA",0.763256397470523,-0.79564841743155,-0.972389992817098
"NFYB",0.0308708306281017,-1.41346950375005,0.809485975648162
"NPAS2",1.39509786948638,1.10414522371261,0.0106254917599889
"NR1H2",-0.87098210826422,-0.320175447380163,-1.39489757589309
"NR1H3",-0.0163346437336458,-0.619874940176155,-1.19534277692813
"NR2C2",1.03983323304409,-1.65591572620801,0.105295176357699
"NR2F1",-0.537348974540812,-0.499811587597384,-1.44247586434247
"NR2F2",-0.144640748608079,1.43910945986067,-1.44612488567858
"NR2F6",-0.337794829052879,-0.288649967483107,-0.526608344020103
"NR3C1",-0.561918046829852,2.0875210207069,0.262303605175333
"NR4A1",-0.105502721449869,-0.422452073464597,-0.0776266817785056
"NR5A1",2.23782327606509,0.515091858190485,1.33262897660267
"NR5A2",0.149951192281387,0.489323945719228,0.688967854084033
"NRF1",0.486234857204597,-0.950105661841169,-1.3237408367041
"ONECUT1",-1.57294661068192,1.0035513503418,-0.42088852843508
"OTX2",0.506220930088378,0.746884876833465,0.0449610409246315
"PAX5",-0.225706248686833,1.41909166000949,0.276593802494684
"PAX6",-0.255325138099473,1.12710830804223,0.321553970257183
"PAX8",-1.49771157502826,-0.485182896114832,-0.687062915646002
"PBX2",0.72647939457448,1.4148524899162,-0.602386697796784
"PBX3",0.431868692480239,1.4694404621814,0.23750075594759
"PDX1",-0.88934928624458,0.777985203277491,-0.0540001974959437
"PGR",-1.11339280198016,1.44756645695828,0.280955060277783
"PKNOX1",0.0157851130127458,1.1322809300294,-0.0398782820285907
"POU2F1",-0.654155982958904,0.983911366383117,-0.472227293156296
"POU2F2",-0.151048749619515,0.585165781701167,-0.977112672308474
"POU4F2",-0.397551984029492,0.525451722266981,0.171825630485935
"POU5F1",-0.463382231273253,0.69891217590215,0.0367360994091702
"PPARA",-2.66238536577943,-0.0716761219112819,-0.404808772304861
"PPARD",0.0949090642239309,0.376422649665736,0.907822952816134
"PPARG",-0.603769303760829,2.22042616583167,0.365612031930602
"PRDM1",0.423276304729684,1.70149728671162,0.607367793728936
"PRDM14",-0.907817654131245,0.539358711636342,-0.959870745998348
"PROX1",-1.54430973989866,-0.098504036867333,-0.266484192455092
"RARA",-0.230745131547672,0.251912978212333,-1.29692427565243
"RARB",0.037004701289308,1.01181470887718,1.02331637387172
"RARG",-1.30927090345519,1.07112678316745,0.029062245355077
"RBPJ",-0.474949558386784,0.375763643799736,0.608486331970271
"REL",-0.268481968096564,-0.465088006272652,1.28957599423289
"RELA",-0.953803676444969,-1.05181259699572,0.414305378801837
"RELB",-0.360975808328606,1.37131014306216,1.17918130194959
"REST",0.332777536190526,0.241878811030323,-0.028319406486598
"RFX1",-0.0435331376504107,1.93950164366737,0.688635552987198
"RFX2",-0.562090613947079,-0.201535868991673,-0.810455149020971
"RFX5",0.243751046736734,0.978294026058132,0.607713208971368
"RUNX1",-0.618806097292365,2.07885564406453,0.211431828890457
"RUNX2",-0.470358552604067,2.03639448345117,1.72472085954145
"RUNX3",0.242222524906817,1.91574464180169,1.82530104647343
"RXRA",-0.472847051455609,0.819237046892305,-0.54551132497054
"RXRB",0.917907602802293,0.680934210945303,1.58657142051824
"RXRG",-1.12727947255441,0.506769287364203,1.88659983438492
"SATB1",0.0540989588763251,-0.0528941764304558,-0.682615057884465
"SIX2",-1.77021178101286,0.636724706394853,-1.24673212146232
"SIX5",0.158765412404065,-2.66500528744815,-2.44982522790155
"SMAD1",-0.637903616059709,-0.632344002387218,-1.78079578721191
"SMAD3",0.874280851952605,1.53926671776306,1.45923020162285
"SMAD4",-0.248876946909265,-0.131164312260293,-0.182344678174398
"SMAD5",0.552074320878535,-0.888443482690373,-0.122287207399909
"SNAI1",-0.529177019552028,-1.73313340141604,-1.63446485654047
"SNAI2",-1.40505642990926,0.259943700771785,-0.381867985172528
"SNAPC4",0.955322737192867,-3.22200445093845,-0.219025216194136
"SOX10",-0.446479753045906,0.0833131762366923,0.104454283298156
"SOX11",-2.1857855314749,0.59605191090539,-0.125766056821163
"SOX13",-1.02057418905461,0.318289822107094,-0.784151280841453
"SOX2",-1.41000826877583,1.58999788297771,0.0848186928915158
"SOX6",-0.272517949362544,-0.205562126031262,-0.837923529998987
"SOX9",0.212136981238964,0.445435662325182,0.728132737331847
"SP1",-1.70182426614745,-0.655550206757858,-1.13908441788329
"SP2",0.856885309784858,-0.0652493561506864,-0.0276295853573801
"SP3",-1.85983393916522,1.26409619310316,0.23101365232874
"SP4",-0.869855375452279,-0.456429361337904,-0.675765317534137
"SPI1",-0.0212823666356027,4.8512230626617,1.42631675145735
"SPIB",-0.781030873769432,0.9995826112558,-0.569314756446191
"SREBF1",-1.33546880973025,-0.994366388823059,-1.59270111300197
"SREBF2",-0.900991479807902,-1.24506279836163,-4.07484564851353
"SRF",0.171516174890515,1.51123673298308,0.749542581472618
"STAT1",-0.689636339177455,1.33637825267208,0.6290334793875
"STAT2",1.12144161721572,2.9651835941941,1.27336939975979
"STAT3",0.372918913014308,1.37504035135626,-0.156382933330187
"STAT4",-0.683677517011114,-0.8381256373649,-0.874505878068325
"STAT5A",0.56237649576555,1.42901631175283,-0.870028569322811
"STAT5B",0.153077641376363,1.4472381892469,0.0958479691652206
"STAT6",-0.0881444788969809,-1.19841413563926,-1.84814905174436
"TAL1",-1.64922614012355,2.56876469311615,-0.704879970866444
"TBP",-1.37363983657571,-1.39080578669784,-1.77992609925111
"TBX21",0.253713343440094,2.27976650397814,0.645985906062848
"TCF12",-0.975531168381682,1.30088597464456,0.544182491420326
"TCF3",-0.0163557304470824,-0.271348690574694,-0.303495769926465
"TCF4",-0.492012970755192,1.00604492708183,0.369355277731398
"TCF7",-0.285150469484443,1.08563828407973,-0.245825230535276
"TCF7L1",0.15123004052044,-1.4234522127082,0.0278654962921665
"TCF7L2",-0.783957607566637,-0.00514541243708278,-0.0768371307974142
"TEAD1",-0.29260584305921,1.59471442300794,0.478636941021664
"TEAD2",1.38719162595509,1.29942460434831,0.24954791204434
"TEAD4",-0.451026342581706,0.0456169717985274,-0.742809076068898
"TFAP2A",-1.8708795833889,0.181350179899521,0.734814795612518
"TFAP2C",-0.980072789252967,1.50167940620647,-0.401156671451253
"TFAP4",-0.027361155718257,0.7043722575766,0.984342058993968
"TFDP1",-0.749414605321206,-3.35342075184136,-1.15325481662759
"TGIF2",1.02405325206599,-1.66653632033829,1.48920433499954
